id,name_type,name,name_bi
Pardalotus punctatus,syn_name,Pipra punctata,Pipra punctata
Pardalotus striatus,syn_name,Pipra striata,Pipra striata
Parvipsitta porphyrocephala,syn_name,Glossopsitta porphyrocephala,Glossopsitta porphyrocephala
Parvipsitta porphyrocephala,syn_name,Trichoglossus porphyrocephala,Trichoglossus porphyrocephala
Parvipsitta pusilla,syn_name,Glossopsitta pusilla,Glossopsitta pusilla
Parvipsitta pusilla,syn_name,Psittacus pusillus,Psittacus pusillus
Pelagodroma marina,syn_name,Procellaria marina,Procellaria marina
Pelecanoides urinatrix,syn_name,Pelecanoides urinator,Pelecanoides urinator
Pelecanoides urinatrix,syn_name,Procellaria urinatrix,Procellaria urinatrix
Peltohyas australis,syn_name,Eudromias australis,Eudromias australis
Petrochelidon ariel,syn_name,Hirundo ariel,Hirundo ariel
Petrochelidon nigricans,syn_name,Hirundo nigricans,Hirundo nigricans
Pezoporus occidentalis,syn_name,Geopsittacus occidentalis,Geopsittacus occidentalis
Pezoporus wallicus,syn_name,Psittacus wallicus,Psittacus wallicus
Phalacrocorax carbo,syn_name,Phalacrocorax lucidus,Phalacrocorax lucidus
Phalacrocorax carbo,syn_name,Pelecanus carbo,Pelecanus carbo
Phalacrocorax carbo,syn_name,Halieus lucidus,Halieus lucidus
Phalacrocorax carbo,syn_name,Phalacrocorax carbo lucidus,Phalacrocorax carbo
Phalacrocorax fuscescens,syn_name,Hydrocorax fuscescens,Hydrocorax fuscescens
Phalacrocorax sulcirostris,syn_name,Carbo sulcirostris,Carbo sulcirostris
Phalacrocorax varius,syn_name,Pelecanus varius,Pelecanus varius
Phalaropus lobatus,syn_name,Lobipes lobatus,Lobipes lobatus
Phalaropus lobatus,syn_name,Charadrius rubricollis,Charadrius rubricollis
Phalaropus lobatus,syn_name,Thinornis rubricollis,Thinornis rubricollis
Phalaropus lobatus,syn_name,Tringa lobata,Tringa lobata
Philemon corniculatus,syn_name,Philemon corniculatus ellioti,Philemon corniculatus
Phoebetria fusca,syn_name,Diomedea fusca,Diomedea fusca
Phylidonyris niger,syn_name,Phylidonyris nigra,Phylidonyris nigra
Phylidonyris pyrrhopterus,syn_name,Phylidonyris pyrrhoptera,Phylidonyris pyrrhoptera
Platycercus caledonicus,syn_name,Platycerus caledonicus,Platycerus caledonicus
Platycercus caledonicus,syn_name,Psittacus caledonicus,Psittacus caledonicus
Platycercus elegans,syn_name,Platycercus adelaidae,Platycercus adelaidae
Platycercus elegans,syn_name,Platycerus elegans,Platycerus elegans
Platycercus elegans,syn_name,Psittacus elegans,Psittacus elegans
Platycercus elegans,syn_name,Platycercus elegans adelaidae,Platycercus elegans
Platycercus eximius,syn_name,Platycerus eximius,Platycerus eximius
Platycercus eximius,syn_name,Psittacus eximius,Psittacus eximius
Plegadis falcinellus,syn_name,Plegadis falcinellus falcinellus,Plegadis falcinellus
Plegadis falcinellus,syn_name,Tantalus falcinellus,Tantalus falcinellus
Pluvialis fulva,syn_name,Pluvialis dominica fulva,Pluvialis dominica
Pluvialis fulva,syn_name,Charadrius fulvus,Charadrius fulvus
Podargus strigoides,syn_name,Caprimulgus strigoides,Caprimulgus strigoides
Poliocephalus poliocephalus,syn_name,Podiceps poliocephalus,Podiceps poliocephalus
Polytelis anthopeplus,syn_name,Palaeornis anthopeplus,Palaeornis anthopeplus
Pomatostomus ruficeps,syn_name,Pomatorhinus ruficeps,Pomatorhinus ruficeps
Pomatostomus superciliosus,syn_name,Pomatorhinus superciliosus,Pomatorhinus superciliosus
Pomatostomus temporalis,syn_name,Pomatorhinus temporalis,Pomatorhinus temporalis
Porphyrio porphyrio,syn_name,Porphyrio porphyrio porphyrio,Porphyrio porphyrio
Porphyrio porphyrio,syn_name,Fulica porphyrio,Fulica porphyrio
Psephotellus varius,syn_name,Psephotus varius,Psephotus varius
Psephotus haematonotus,syn_name,Platycercus haematonotus,Platycercus haematonotus
Psittacula krameri,syn_name,Psittacus krameri,Psittacus krameri
Psittacula krameri,syn_name,Alexandrinus krameri,Alexandrinus krameri
Psitteuteles versicolor,syn_name,Trichoglossus versicolor,Trichoglossus versicolor
Psophodes cristatus,syn_name,Sphenostoma cristatum,Sphenostoma cristatum
Psophodes occidentalis,syn_name,Sphenostoma cristatum occidentale,Sphenostoma cristatum
Pterodroma inexpectata,syn_name,Procellaria inexpectata,Procellaria inexpectata
Pterodroma leucoptera,syn_name,Pterodroma leucoptera caledonica,Pterodroma leucoptera
Pterodroma leucoptera,syn_name,Pterodroma leucoptera leucoptera,Pterodroma leucoptera
Pterodroma leucoptera,syn_name,Procellaria leucoptera,Procellaria leucoptera
Pterodroma macroptera,syn_name,Pterodroma macroptera macroptera,Pterodroma macroptera
Pterodroma macroptera,syn_name,Procellaria macroptera,Procellaria macroptera
Pterodroma mollis,syn_name,Procellaria mollis,Procellaria mollis
Pterodroma mollis,syn_name,Pterodroma dubia,Pterodroma dubia
Pterodroma mollis,syn_name,Pterodroma mollis dubia,Pterodroma mollis
Pterodroma mollis,syn_name,Pterodroma mollis mollis,Pterodroma mollis
Ptilonorhynchus violaceus,syn_name,Pyrrhocorax violaceus,Pyrrhocorax violaceus
Ptilotula fusca,syn_name,Lichenostomus fuscus,Lichenostomus fuscus
Ptilotula keartlandi,syn_name,Lichenostomus keartlandi,Lichenostomus keartlandi
Ptilotula keartlandi,syn_name,Ptilotis keartlandi,Ptilotis keartlandi
Ptilotula keartlandi,syn_name,Meliphaga keartlandi,Meliphaga keartlandi
Ptilotula ornata,syn_name,Lichenostomus ornatus,Lichenostomus ornatus
Ptilotula ornata,syn_name,Ptilotis ornatus,Ptilotis ornatus
Ptilotula ornata,syn_name,Meliphaga ornata,Meliphaga ornata
Ptilotula penicillata,syn_name,Lichenostomus penicillatus,Lichenostomus penicillatus
Ptilotula plumula,syn_name,Lichenostomus plumulus,Lichenostomus plumulus
Puffinus gavia,syn_name,Procellaria gavia,Procellaria gavia
Purnella albifrons,syn_name,Phylidonyris albifrons,Phylidonyris albifrons
Purnella albifrons,syn_name,Glyciphila albifrons,Glyciphila albifrons
Pyrrholaemus sagittatus,syn_name,Chthonicola sagittatus,Chthonicola sagittatus
Pyrrholaemus sagittatus,syn_name,Sylvia sagittata,Sylvia sagittata
Radjah radjah,syn_name,Tadorna radjah,Tadorna radjah
