IOC.15.1,English.Name,Latin.Name,NestType_BU,NestType_CP,NestType_CR,NestType_CV,NestType_DM,NestType_HC,NestType_NO,NestType_O,NestType_PL,NestType_PN,NestType_SA,NestType_SC,NestType_SP,NestType_M,NestSBS_A,NestSBS_B,NestSBS_C,NestSBS_G,NestSBS_K,NestSBS_N,NestSBS_P,NestSBS_R,NestSBS_S,NestSBS_T,NestSBS_W,NestSBS_Z
22279,Ua Pou Monarch,Pomarea mira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22281,Nuku Hiva Monarch,Pomarea nukuhivae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22283,Iphis Monarch,Pomarea iphis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
22285,Eiao Monarch,Pomarea fluxa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22287,Fatu Hiva Monarch,Pomarea whitneyi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22288,Vanikoro Monarch,Mayrornis schistaceus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22289,Ogea Monarch,Mayrornis versicolor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22290,Slaty Monarch,Mayrornis lessoni,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
22294,Buff-bellied Monarch,Neolalage banksiana,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
22295,Southern Shrikebill,Clytorhynchus pachycephaloides,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
22298,Fiji Shrikebill,Clytorhynchus vitiensis,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
22311,Black-throated Shrikebill,Clytorhynchus nigrogularis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22313,Nendo Shrikebill,Clytorhynchus sanctaecrucis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22315,Rennell Shrikebill,Clytorhynchus hamlini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22316,Chuuk Monarch,Metabolus rugensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
22317,Black Monarch,Symposiachrus axillaris,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
22320,Spot-winged Monarch,Symposiachrus guttula,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
22321,Black-bibbed Monarch,Symposiachrus mundus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22322,Flores Monarch,Symposiachrus sacerdotum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22323,Black-chinned Monarch,Symposiachrus boanensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22325,Louisiade Monarch,Symposiachrus melanopterus,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
22327,Spectacled Monarch,Symposiachrus trivirgatus,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
22332,Moluccan Monarch,Symposiachrus bimaculatus,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
22339,White-tailed Monarch,Symposiachrus leucurus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22341,White-tipped Monarch,Symposiachrus everetti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22343,Black-tipped Monarch,Symposiachrus loricatus,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
22345,Kofiau Monarch,Symposiachrus julianae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22346,Biak Monarch,Symposiachrus brehmii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22347,Hooded Monarch,Symposiachrus manadensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
22348,Manus Monarch,Symposiachrus infelix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22351,White-breasted Monarch,Symposiachrus menckei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22352,Black-tailed Monarch,Symposiachrus verticalis,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
22353,Djaul Monarch,Symposiachrus ateralbus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22356,Solomons Pied Monarch,Symposiachrus barbatus,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
22358,Malaita Monarch,Symposiachrus malaitae,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
